User ID,Username,Role,Action,Timestamp,IP Address
18,aakash,admin,Login,2025-02-03 05:47:52,127.0.0.1
18,aakash,admin,Login,2025-02-03 05:48:05,127.0.0.1
18,aakash,admin,Logout,2025-02-03 05:50:18,127.0.0.1
17,Bob3,product owner,Login,2025-02-03 08:34:47,127.0.0.1
17,Bob3,product owner,Login,2025-02-03 08:35:09,127.0.0.1
17,Bob3,product owner,Logout,2025-02-03 08:36:56,127.0.0.1
17,Bob3,product owner,Login,2025-02-03 14:05:19,127.0.0.1
17,Bob3,product owner,Login,2025-02-03 14:05:20,127.0.0.1
17,Bob3,product owner,Login,2025-02-03 14:05:32,127.0.0.1
18,aakash,admin,Login,2025-02-03 14:37:05,127.0.0.1
18,aakash,admin,Login,2025-02-03 14:37:19,127.0.0.1
18,aakash,admin,Login,2025-02-03 14:40:27,127.0.0.1
17,Bob3,product owner,Login,2025-02-03 15:09:30,127.0.0.1
17,Bob3,product owner,Login,2025-02-04 11:29:45,127.0.0.1
17,Bob3,product owner,Login,2025-02-04 11:30:08,127.0.0.1
17,Bob3,product owner,Logout,2025-02-04 11:30:34,127.0.0.1
17,Bob3,product owner,Login,2025-02-04 13:03:16,127.0.0.1
17,Bob3,product owner,Login,2025-02-04 13:03:38,127.0.0.1
19,new,product owner,Login,2025-02-04 13:19:27,127.0.0.1
19,new,product owner,Login,2025-02-04 13:20:21,127.0.0.1
19,new,product owner,Login,2025-02-04 13:38:52,127.0.0.1
19,new,product owner,Login,2025-02-04 13:39:17,127.0.0.1
18,aakash,admin,Login,2025-02-04 15:46:33,127.0.0.1
18,aakash,admin,Login,2025-02-04 15:46:53,127.0.0.1
18,aakash,admin,Logout,2025-02-04 15:47:21,127.0.0.1
18,aakash,admin,Login,2025-02-04 15:50:42,127.0.0.1
18,aakash,admin,Login,2025-02-04 15:51:05,127.0.0.1
18,aakash,admin,Login,2025-02-04 15:54:40,127.0.0.1
18,aakash,admin,Login,2025-02-04 15:55:31,127.0.0.1
18,aakash,admin,Logout,2025-02-04 15:59:50,127.0.0.1
17,Bob3,product owner,Login,2025-02-04 16:00:03,127.0.0.1
17,Bob3,product owner,Login,2025-02-04 16:00:22,127.0.0.1
18,aakash,admin,Login,2025-02-04 16:18:15,117.96.17.224
18,aakash,admin,Login,2025-02-04 16:19:36,117.96.17.224
20,sukhesh_029,team member,Login,2025-02-12 20:26:27,127.0.0.1
20,sukhesh_029,team member,Login,2025-02-12 20:26:48,127.0.0.1
20,sukhesh_029,admin,Login,2025-02-12 20:27:48,127.0.0.1
20,sukhesh_029,admin,Login,2025-02-12 20:28:00,127.0.0.1
24,sukhesh_029,product owner,Login,2025-02-12 20:31:26,127.0.0.1
24,sukhesh_029,product owner,Login,2025-02-12 20:31:36,127.0.0.1
24,sukhesh_029,product owner,Login,2025-02-19 23:25:47,127.0.0.1
24,sukhesh_029,product owner,Login,2025-02-19 23:26:05,127.0.0.1
